City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Poum,NC,74.59,clear sky,-20.2333,164.0167,Gîte kajeon
170,Salinopolis,BR,83.12,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
175,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
176,Gat,IL,83.08,scattered clouds,31.61,34.7642,OlusHome
182,Boyolangu,ID,76.89,overcast clouds,-8.1181,111.8935,Yos ega cv
184,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
187,Alyangula,AU,81.95,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
188,Maragogi,BR,81.7,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
189,Maumere,ID,80.26,broken clouds,-8.6199,122.2111,Sylvia Hotel
191,Norsup,VU,77.54,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
193,Dwarka,IN,80.78,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
194,Stabat,ID,72.9,light rain,3.761,98.4513,Link VII damai
199,Thinadhoo,MV,82.8,overcast clouds,0.5333,72.9333,
201,Sorong,ID,79.54,overcast clouds,-0.8833,131.25,waigo splash hotel
203,Khao Yoi,TH,74.91,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
204,Ponta Do Sol,PT,75.7,scattered clouds,32.6667,-17.1,Hotel do Campo
207,Amarante Do Maranhao,BR,89.33,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
208,Lorengau,PG,81.37,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
210,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
211,Abu Kamal,SY,75.94,overcast clouds,34.4506,40.9171,محطة التلفاز
213,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
216,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
218,Hue,VN,77.11,scattered clouds,16.4667,107.6,Saigon Morin Hotel
219,Pagudpud,PH,73.36,clear sky,18.5616,120.7868,Saud Beach Resort and Hotel - 2
221,Mumford,GH,79.61,light rain,5.2618,-0.759,Spanish Villa
227,Avera,US,70.48,clear sky,33.194,-82.5271,
228,Auki,SB,76.8,broken clouds,-8.7676,160.7034,Auki Motel
229,Camopi,GF,88.65,broken clouds,3.1655,-52.3158,La pousada
230,Lake Charles,US,78.78,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
232,Diego De Almagro,CL,80.08,clear sky,-26.3667,-70.05,hotel luna del desierto
238,Kimbe,PG,75.96,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
241,Alta Floresta,BR,80.42,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
250,Ahuimanu,US,76.46,few clouds,21.4447,-157.8378,Paradise Bay Resort
252,San Angelo,US,77.63,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
254,Bagepalli,IN,71.94,overcast clouds,13.7847,77.7931,Naydu hotel
256,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
257,Taoudenni,ML,88.99,clear sky,22.6783,-3.9836,
259,Londrina,BR,76.66,broken clouds,-23.3103,-51.1628,Hotel Crillon em Londrina
261,Samarai,PG,82.22,moderate rain,-10.6167,150.6667,Nuli Sapi
266,Kahului,US,79.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
267,Panguipulli,CL,76.71,overcast clouds,-39.6333,-72.3333,Cabañas Mis Viejos
279,Roebourne,AU,72.55,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
280,Uvira,CD,75.96,light rain,-3.4067,29.1458,Hotel Suzana
281,Bonthe,SL,80.01,light rain,7.5264,-12.505,Bonthe Holiday Village
284,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
285,Itororo,BR,85.06,broken clouds,-15.1169,-40.0703,Itajubá Hotel
286,Barabai,ID,74.23,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
291,Hopewell,US,72.95,clear sky,37.3043,-77.2872,Best Western Plus Hopewell Fort Lee
295,Tucupita,VE,88.45,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
298,Manokwari,ID,78.12,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
299,Camacha,PT,71.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
304,Zinder,NE,89.56,clear sky,13.8072,8.9881,Hotel de Ville
306,Sassandra,CI,78.62,light rain,4.95,-6.0833,la terrasse
307,Akyab,MM,78.87,broken clouds,20.15,92.9,Hotel Memory
308,Sinjar,IQ,72.19,overcast clouds,36.3209,41.8754,زوماني فون 1
310,Carutapera,BR,83.12,scattered clouds,-1.195,-46.02,Lidera
314,Miandrivazo,MG,75.38,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
317,Miri,MY,77.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
318,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
319,Praia,CV,75.74,overcast clouds,14.9215,-23.5087,LT Aparthotel
320,Caravelas,BR,80.71,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
321,Marsa Matruh,EG,75.72,broken clouds,31.3525,27.2453,Beau Site
324,Phangnga,TH,81.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
328,Iquitos,PE,89.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
333,Dakar,SN,85.08,clear sky,14.6937,-17.4441,Redface Studios Meublés
335,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
338,Namatanai,PG,78.98,light rain,-3.6667,152.4333,Seagulls Inn Namatani
342,Gizo,SB,81.25,light rain,-8.103,156.8419,Imagination Island
343,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
346,Meiganga,CM,70.61,broken clouds,6.5167,14.3,DFR HOUSE
348,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
351,Moerai,PF,73.62,broken clouds,-22.4333,-151.3333,Le Manotel
352,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
354,Padampur,IN,75.79,clear sky,29.6833,73.6167,Platinum resort
356,Xucheng,CN,72.3,light rain,20.35,110.1288,Haixing Hotel
359,Paciran,ID,81.5,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
362,Beruwala,LK,79.63,broken clouds,6.4788,79.9828,The Palms Hotel
374,Sibolga,ID,76.21,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
375,Sinnamary,GF,81.55,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
377,Guerrero Negro,MX,71.08,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
378,Raub,MY,73.96,overcast clouds,3.7899,101.857,Daniels Guest House Raub
381,San Diego,US,71.62,broken clouds,32.7153,-117.1573,Hilton San Diego Bayfront
388,Labuhan,ID,81.12,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
389,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
390,Mvuma,ZW,74.23,scattered clouds,-19.2792,30.5283,Nyangombe Backpackers
393,Ampanihy,MG,73.33,overcast clouds,-24.7,44.75,Angora Hotel
394,Adrar,MR,89.42,broken clouds,20.5022,-10.0711,
400,Marsh Harbour,BS,78.01,clear sky,26.5412,-77.0636,Abaco Beach Resort
401,Bocas Del Toro,PA,84.07,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
404,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
406,Misratah,LY,73.24,broken clouds,32.3754,15.0925,Almasa Hotel
407,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
410,Kalmunai,LK,79.03,broken clouds,7.4167,81.8167,VS Villa
411,Ambanja,MG,75.99,light rain,-13.6833,48.45,Hotel Salama and Fast Food
412,Karratha,AU,73.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
421,Coahuayana,MX,89.2,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
422,Santa Marta,CO,81.03,overcast clouds,11.2408,-74.199,Casa de Isabella
423,Jeremie,HT,84.16,few clouds,18.65,-74.1167,Auberge’Inn
425,Ixtapa,MX,83.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
429,Madimba,TZ,78.12,clear sky,-10.4,40.3333,
430,Surat,IN,75.18,clear sky,21.1667,72.8333,HOTEL RUCHIRAJ
436,Grand Gaube,MU,73.8,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
437,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
439,Hit,IQ,80.1,overcast clouds,33.6416,42.8251,صالون زيرو
440,Bac Lieu,VN,79.61,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
445,Vanimo,PG,77.36,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
446,Kirakira,SB,78.12,broken clouds,-10.4544,161.9205,SanBiz Lodge
448,Barra Do Garcas,BR,86.58,scattered clouds,-15.89,-52.2567,Hotel Pousada Tropical
449,Wilmington,US,73.31,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
450,Omboue,GA,76.35,overcast clouds,-1.5746,9.2618,Hotel Olako
452,Aloleng,PH,78.31,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
453,Bugalagrande,CO,78.89,overcast clouds,4.2121,-76.1556,carlos alexis mendoza salcedo
