City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,75,0,25.32,clear sky
224,Flinders,AU,-34.5833,150.8552,58.37,80,7,1.01,clear sky
225,Qovlar,AZ,40.948,45.735,49.05,76,25,3.0,scattered clouds
226,Lake City,US,30.1897,-82.6393,62.65,63,90,11.5,overcast clouds
227,Avera,US,33.194,-82.5271,70.48,49,4,10.07,clear sky
228,Auki,SB,-8.7676,160.7034,76.8,89,75,4.23,broken clouds
229,Camopi,GF,3.1655,-52.3158,88.65,54,80,6.29,broken clouds
230,Lake Charles,US,30.2131,-93.2044,78.78,30,1,0.0,clear sky
231,Yakeshi,CN,49.2833,120.7333,25.65,36,36,3.6,scattered clouds
232,Diego De Almagro,CL,-26.3667,-70.05,80.08,15,0,13.51,clear sky
233,Zabaykalsk,RU,49.6333,117.3167,25.05,36,5,6.29,clear sky
234,Loikaw,MM,19.6742,97.2094,65.68,96,23,2.1,few clouds
235,Puerto Narino,CO,-3.7703,-70.3831,91.35,56,94,1.95,light rain
236,Scottsbluff,US,41.8666,-103.6672,39.63,95,90,7.0,mist
237,Tacoronte,ES,28.4769,-16.4102,68.81,62,0,5.99,clear sky
238,Kimbe,PG,-5.5502,150.1429,75.96,91,96,4.09,overcast clouds
239,Fairfield,US,41.2668,-73.3162,65.93,72,75,1.99,broken clouds
240,Sindor,RU,62.8629,51.8905,35.89,98,100,7.52,overcast clouds
241,Alta Floresta,BR,-9.8756,-56.0861,80.42,89,75,8.05,broken clouds
242,Nome,US,64.5011,-165.4064,17.67,79,1,0.0,clear sky
243,Sitka,US,57.0531,-135.33,42.69,75,75,5.75,broken clouds
244,Zhongxing,CN,33.7039,118.6792,60.8,60,96,5.55,light rain
245,Berlevag,NO,70.8578,29.0864,33.6,74,100,14.97,overcast clouds
246,Tyup,KG,42.7276,78.3648,36.37,81,96,3.02,overcast clouds
247,Christchurch,NZ,-43.5333,172.6333,53.01,69,90,3.44,overcast clouds
248,Yaransk,RU,57.3033,47.8861,43.3,85,81,12.24,broken clouds
249,Kaitangata,NZ,-46.2817,169.8464,43.61,76,83,7.78,broken clouds
250,Ahuimanu,US,21.4447,-157.8378,76.46,70,20,0.0,few clouds
251,New Norfolk,AU,-42.7826,147.0587,54.91,57,100,5.01,overcast clouds
252,San Angelo,US,31.4638,-100.437,77.63,35,1,4.0,clear sky
253,Komsomolskiy,UZ,40.4272,71.7189,47.62,65,94,6.91,haze
254,Bagepalli,IN,13.7847,77.7931,71.94,94,100,5.99,overcast clouds
255,Brigantine,US,39.4101,-74.3646,65.03,72,20,12.66,few clouds
256,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,5.75,scattered clouds
257,Taoudenni,ML,22.6783,-3.9836,88.99,15,0,8.55,clear sky
258,Krasnyy Chikoy,RU,50.3643,108.7512,27.41,77,56,3.67,broken clouds
259,Londrina,BR,-23.3103,-51.1628,76.66,69,75,9.22,broken clouds
260,Saldanha,ZA,-33.0117,17.9442,64.45,82,99,7.47,overcast clouds
261,Samarai,PG,-10.6167,150.6667,82.22,79,97,15.03,moderate rain
262,Mehamn,NO,71.0357,27.8492,35.78,86,0,3.44,clear sky
263,Vetluga,RU,57.8557,45.781,42.55,85,66,8.46,broken clouds
264,Selikhino,RU,50.3672,137.4996,28.02,64,0,2.89,clear sky
265,Kurilsk,RU,45.2333,147.8833,47.73,84,100,9.42,overcast clouds
266,Kahului,US,20.8947,-156.47,79.84,68,1,0.0,clear sky
267,Panguipulli,CL,-39.6333,-72.3333,76.71,27,96,2.13,overcast clouds
268,Udachnyy,RU,66.4167,112.4,8.82,85,60,15.86,broken clouds
269,Erenhot,CN,43.6475,111.9767,34.29,37,0,5.77,clear sky
270,Olga,RU,43.7444,135.2892,41.32,92,100,3.98,overcast clouds
271,Champerico,GT,14.3,-91.9167,90.14,68,43,4.72,scattered clouds
272,Lagoa,PT,39.05,-27.9833,69.84,85,100,10.56,overcast clouds
273,Leningradskiy,RU,69.3833,178.4167,0.79,93,100,9.93,overcast clouds
274,Rylsk,RU,51.5655,34.6822,43.41,70,0,6.22,clear sky
275,Oktyabrskoye,RU,43.0645,44.7417,37.54,100,90,4.47,mist
276,Dmanisi,GE,41.5251,44.3472,36.34,88,53,1.57,broken clouds
277,Mursalimkino,RU,55.0379,58.5585,42.84,92,100,12.48,overcast clouds
278,Tura,IN,25.5198,90.2201,61.57,65,0,3.0,clear sky
279,Roebourne,AU,-20.7833,117.1333,72.55,64,0,7.2,clear sky
280,Uvira,CD,-3.4067,29.1458,75.96,82,92,1.97,light rain
281,Bonthe,SL,7.5264,-12.505,80.01,80,58,11.59,light rain
282,Hofn,IS,64.2539,-15.2082,39.83,59,100,19.46,overcast clouds
283,Ginir,ET,7.1333,40.7,60.22,63,72,5.44,broken clouds
284,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,13.8,scattered clouds
285,Itororo,BR,-15.1169,-40.0703,85.06,48,72,7.31,broken clouds
286,Barabai,ID,-2.5833,115.3833,74.23,98,100,5.03,overcast clouds
287,Ossora,RU,59.2353,163.0719,8.58,76,100,10.51,overcast clouds
288,Qaqortoq,GL,60.7167,-46.0333,30.7,71,78,4.38,broken clouds
289,Namie,JP,37.4833,141.0,48.78,79,26,3.6,scattered clouds
290,Xai-Xai,MZ,-25.0519,33.6442,68.31,84,44,5.06,scattered clouds
291,Hopewell,US,37.3043,-77.2872,72.95,58,9,11.61,clear sky
292,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,100.11,22,21,4.88,few clouds
293,Aksarayskiy,RU,46.7924,48.0119,44.55,85,0,7.31,clear sky
294,Ulaangom,MN,49.9811,92.0667,33.53,66,100,6.11,overcast clouds
295,Tucupita,VE,9.0622,-62.051,88.45,54,89,4.43,overcast clouds
296,Erdaojiang,CN,41.7764,126.0319,38.79,87,100,3.74,overcast clouds
297,Klaksvik,FO,62.2266,-6.589,40.12,67,99,3.09,overcast clouds
298,Manokwari,ID,-0.8667,134.0833,78.12,79,91,4.61,overcast clouds
299,Camacha,PT,33.0833,-16.3333,71.53,83,20,9.22,few clouds
300,Endicott,US,42.0984,-76.0494,57.18,86,90,1.01,overcast clouds
301,Iqaluit,CA,63.7506,-68.5145,37.13,69,90,4.0,overcast clouds
302,Yulara,AU,-25.2406,130.9889,64.24,88,90,5.75,overcast clouds
303,La Ronge,CA,55.1001,-105.2842,32.25,69,90,9.22,overcast clouds
304,Zinder,NE,13.8072,8.9881,89.56,20,0,6.91,clear sky
305,North Bend,US,43.4065,-124.2243,58.91,94,90,0.0,overcast clouds
306,Sassandra,CI,4.95,-6.0833,78.62,86,69,8.41,light rain
307,Akyab,MM,20.15,92.9,78.87,79,65,5.53,broken clouds
308,Sinjar,IQ,36.3209,41.8754,72.19,38,95,8.48,overcast clouds
309,Kadnikov,RU,59.5022,40.338,39.52,95,46,5.46,scattered clouds
310,Carutapera,BR,-1.195,-46.02,83.12,79,47,6.71,scattered clouds
311,Zhigansk,RU,66.7697,123.3711,11.46,92,100,20.6,overcast clouds
312,Bonnyville,CA,54.2668,-110.735,33.12,49,0,5.82,clear sky
313,Qasigiannguit,GL,68.8193,-51.1922,32.25,98,100,13.65,snow
314,Miandrivazo,MG,-19.5167,45.4667,75.38,69,0,5.08,clear sky
315,Deputatskiy,RU,69.3,139.9,-11.22,85,60,2.75,broken clouds
316,Reims,FR,49.1667,4.0833,55.94,82,90,8.05,overcast clouds
317,Miri,MY,4.4148,114.0089,77.14,94,40,1.14,light rain
318,San Cristobal,VE,7.7669,-72.225,77.18,71,76,2.93,broken clouds
319,Praia,CV,14.9215,-23.5087,75.74,94,90,12.66,overcast clouds
320,Caravelas,BR,-17.7125,-39.2481,80.71,65,67,9.98,broken clouds
321,Marsa Matruh,EG,31.3525,27.2453,75.72,41,83,10.96,broken clouds
322,Juneau,US,58.3019,-134.4197,39.25,95,90,0.0,fog
323,Port Hardy,CA,50.6996,-127.4199,46.4,65,1,4.61,clear sky
324,Phangnga,TH,8.4509,98.5298,81.91,93,90,3.04,overcast clouds
